,"Ramirez-Rosa, Carlos","Sadlowski Garza, Susan","Waguespack, Scott","Osterman, Harry","Reilly, Brendan","Mell, Deborah","Hopkins, Brian","Taliaferro, Chris","Maldonado, Roberto","Silverstein, Debra L.","Villegas, Gilbert","Santiago, Milagros S.","Napolitano, Anthony V.","Ervin, Jason C.","King, Sophia D.","Moore, David H.","Munoz, Ricardo","Arena, John","Tabares, Silvana","Smith, Michele","Pawar, Ameya","Cardenas, George A.","Moreno, Proco Joe","Foulkes, Toni","Lopez, Raymond A.","Zalewski, Michael R.","Hairston, Leslie A.","Moore, Joseph","Scott, Jr. Michael","Quinn, Marty","Cappleman, James","O'Shea, Matthew J.","Dowell, Pat","Laurino, Margaret","Brookins, Jr., Howard","Solis, Daniel","Mitts, Emma","Burke, Edward M.","Sawyer, Roderick T.","Reboyras, Ariel","Tunney, Thomas","Beale, Anthony","Austin, Carrie M.","Harris, Michelle A.","Mitchell, Gregory I.","Burnett, Jr., Walter","Sposato, Nicholas","O'Connor, Patrick","Thompson, Patrick D.","Cochran, Willie","Curtis, Derrick G.","Burns, William D."
"Ramirez-Rosa, Carlos",21,12,18,10,10,11,9,9,6,9,7,7,10,6,3,8,6,8,0,6,5,3,3,3,2,1,3,2,1,1,1,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
"Sadlowski Garza, Susan",12,17,16,11,10,11,8,12,7,9,6,9,11,9,5,10,7,6,0,4,4,5,3,5,2,3,6,1,3,1,1,2,5,0,3,0,2,0,1,0,1,2,2,2,2,2,3,0,0,3,2,0
"Waguespack, Scott",18,16,35,12,11,13,9,12,7,9,6,10,12,9,7,12,8,17,0,9,7,4,3,7,3,2,8,2,3,2,2,2,8,0,2,0,2,0,3,0,2,2,2,2,3,2,3,0,1,4,4,0
"Osterman, Harry",10,11,12,13,11,9,8,8,7,8,6,7,8,6,1,5,4,6,0,5,5,3,3,3,1,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
"Reilly, Brendan",10,10,11,11,14,9,8,7,6,8,6,6,9,6,1,4,3,6,0,6,5,3,3,2,0,1,3,1,1,1,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0
"Mell, Deborah",11,11,13,9,9,14,9,8,6,7,6,9,6,8,4,7,3,4,0,5,4,3,2,4,1,0,3,2,2,0,1,0,4,0,2,0,2,0,0,0,1,2,2,2,2,2,0,0,0,2,2,0
"Hopkins, Brian",9,8,9,8,8,9,9,6,6,6,6,7,6,6,1,5,2,3,0,3,3,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taliaferro, Chris",9,12,12,8,7,8,6,19,8,7,7,9,15,10,4,9,2,2,0,1,1,1,1,5,1,3,5,0,3,2,0,3,4,0,3,0,2,0,1,0,1,2,2,2,3,2,4,0,0,4,3,0
"Maldonado, Roberto",6,7,7,7,6,6,6,8,8,6,6,7,8,6,0,4,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Silverstein, Debra L.",9,9,9,8,8,7,6,7,6,9,6,6,8,6,1,5,2,2,0,2,2,1,1,2,1,1,2,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"Villegas, Gilbert",7,6,6,6,6,6,6,7,6,6,7,6,7,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santiago, Milagros S.",7,9,10,7,6,9,7,9,7,6,6,11,8,8,3,7,1,2,0,1,1,0,0,4,2,0,2,1,2,0,0,0,3,0,2,0,2,0,0,0,0,2,2,2,2,2,2,0,0,2,2,0
"Napolitano, Anthony V.",10,11,12,8,9,6,6,15,8,8,7,8,35,7,1,9,3,4,0,3,1,1,1,2,2,3,3,0,1,3,0,4,1,0,1,0,0,0,1,0,3,0,0,0,0,0,13,0,2,2,2,0
"Ervin, Jason C.",6,9,9,6,6,8,6,10,6,6,6,8,7,12,3,8,0,0,0,0,0,1,0,3,0,1,4,0,2,0,0,1,3,0,3,0,2,0,1,0,1,2,2,2,3,2,1,0,0,3,3,0
"King, Sophia D.",3,5,7,1,1,4,1,4,0,1,0,3,1,3,8,7,3,3,0,2,2,2,0,5,1,1,6,2,2,0,1,0,7,0,2,0,2,0,1,0,0,2,2,2,3,2,0,0,0,4,3,0
"Moore, David H.",8,10,12,5,4,7,5,9,4,5,4,7,9,8,7,29,3,4,0,1,1,2,0,5,2,2,8,1,2,0,0,1,7,0,3,0,2,0,2,0,1,2,2,2,3,2,3,0,2,5,5,0
"Munoz, Ricardo",6,7,8,4,3,3,2,2,1,2,0,1,3,0,3,3,8,5,0,3,3,4,2,2,2,1,3,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"Arena, John",8,6,17,6,6,4,3,2,1,2,0,2,4,0,3,4,5,20,0,8,7,4,3,4,2,2,4,2,1,2,2,2,5,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,1,1,0
"Tabares, Silvana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith, Michele",6,4,9,5,6,5,3,1,0,2,0,1,3,0,2,1,3,8,0,10,6,3,3,3,1,1,2,2,1,2,1,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,1,0
"Pawar, Ameya",5,4,7,5,5,4,3,1,0,2,0,1,1,0,2,1,3,7,0,6,7,3,3,3,1,1,2,2,1,1,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Cardenas, George A.",3,5,4,3,3,3,2,1,0,1,0,0,1,1,2,2,4,4,0,3,3,5,2,1,0,2,3,1,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Moreno, Proco Joe",3,3,3,3,3,2,2,1,0,1,0,0,1,0,0,0,2,3,0,3,3,2,4,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Foulkes, Toni",3,5,7,3,2,4,1,5,1,2,0,4,2,3,5,5,2,4,0,3,3,1,1,8,2,1,4,2,3,1,1,1,6,0,2,0,2,0,1,0,0,2,2,2,3,2,1,0,0,4,3,0
"Lopez, Raymond A.",2,2,3,1,0,1,1,1,1,1,0,2,2,0,1,2,2,2,0,1,1,0,0,2,5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"Zalewski, Michael R.",1,3,2,1,1,0,0,3,1,1,0,0,3,1,1,2,1,2,0,1,1,2,1,1,0,4,3,0,1,2,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
"Hairston, Leslie A.",3,6,8,2,3,3,0,5,1,2,0,2,3,4,6,8,3,4,0,2,2,3,0,4,1,3,12,1,2,1,1,2,7,0,3,0,2,0,2,0,2,2,2,2,3,2,3,0,0,4,3,0
"Moore, Joseph",2,1,2,1,1,2,1,0,0,1,0,1,0,0,2,1,1,2,0,2,2,1,0,2,1,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scott, Jr. Michael",1,3,3,1,1,2,0,3,0,1,0,2,1,2,2,2,0,1,0,1,1,0,1,3,0,1,2,0,3,1,0,1,3,0,2,0,2,0,0,0,0,2,2,2,2,2,0,0,0,3,2,0
"Quinn, Marty",1,1,2,1,1,0,0,2,1,1,0,0,3,0,0,0,0,2,0,2,1,0,1,1,0,2,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0
"Cappleman, James",1,1,2,1,1,1,0,0,0,1,0,0,0,0,1,0,1,2,0,1,2,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"O'Shea, Matthew J.",1,2,2,1,1,0,0,3,1,1,0,0,4,1,0,1,0,2,0,2,1,1,1,1,0,3,2,0,1,3,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,1,0
"Dowell, Pat",3,5,8,3,3,4,1,4,0,2,0,3,1,3,7,7,2,5,0,4,4,2,1,6,1,2,7,2,3,1,1,1,12,0,2,0,2,0,1,0,1,2,2,2,3,2,0,0,0,5,3,0
"Laurino, Margaret",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brookins, Jr., Howard",0,3,2,0,0,2,0,3,0,0,0,2,1,3,2,3,0,0,0,0,0,1,0,2,0,1,3,0,2,0,0,1,2,0,3,0,2,0,0,0,1,2,2,2,2,2,1,0,0,2,2,0
"Solis, Daniel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitts, Emma",0,2,2,0,0,2,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0
"Burke, Edward M.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sawyer, Roderick T.",1,1,3,0,0,0,0,1,0,1,0,0,1,1,1,2,1,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,1,0
"Reboyras, Ariel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunney, Thomas",1,1,2,1,2,1,0,1,0,0,0,0,3,1,0,1,0,2,0,3,1,1,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
"Beale, Anthony",0,2,2,0,0,2,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0
"Austin, Carrie M.",0,2,2,0,0,2,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0
"Harris, Michelle A.",0,2,2,0,0,2,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0
"Mitchell, Gregory I.",0,2,3,0,0,2,0,3,0,0,0,2,0,3,3,3,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,3,0,2,0,2,0,1,0,0,2,2,2,3,2,0,0,0,3,3,0
"Burnett, Jr., Walter",0,2,2,0,0,2,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,0
"Sposato, Nicholas",1,3,3,1,0,0,0,4,2,1,0,2,13,1,0,3,2,2,0,1,0,1,0,1,2,2,3,0,0,2,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,15,0,2,1,1,0
"O'Connor, Patrick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Thompson, Patrick D.",0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,2,0
"Cochran, Willie",1,3,4,1,1,2,0,4,0,1,0,2,2,3,4,5,0,1,0,1,1,0,1,4,0,1,4,0,3,1,0,1,5,0,2,0,2,0,1,0,0,2,2,2,3,2,1,0,1,6,3,0
"Curtis, Derrick G.",0,2,4,1,1,2,0,3,0,0,0,2,2,3,3,5,0,1,0,1,0,0,0,3,0,0,3,0,2,1,0,1,3,0,2,0,2,0,1,0,0,2,2,2,3,2,1,0,2,3,7,0
"Burns, William D.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
